id,Sentence,Entities
320,Uganda's military had detained Dr. Besigye since November when he returned from self-imposed exile to run against President Yoweri Museveni in next month's presidential election.,"Dr. Besigye, President Yoweri Museveni"
321,A military tribunal has charged Dr. Besigye with terrorism and possessing illegal weapons.,Dr. Besigye
322,But a Ugandan High Court Judge John Bosco Katutsi said his detention was illegal because the High Court had suspended the military trial.,"High Court, John Bosco Katutsi, High Court"
323,Dr. Besigye still faces rape charges for which a civilian trial began Monday.,Dr. Besigye
325,U.S. President Barack Obama says improvements in the American health care system are inevitable.,President Barack Obama
326,Mr. Obama made his comments in the White House Rose Garden Monday as he nominated an African-American woman Regina Benjamin to become the U.S. Surgeon General.,"Mr. Obama, Regina Benjamin, Surgeon General"
329,Mr. Obama has vowed to sign a health care bill into law this year.,Mr. Obama
330,Democrats in the House of Representatives say they are nearly ready to unveil their health care reform plan.,"Democrats, House of Representatives"
333,World Bank member nations meeting in Washington have approved a debt relief plan for 17 African and Latin American countries that could total $37 billion over 40 years.,"World Bank, Washington"
334,World Bank President Paul Wolfowitz said two-thirds of the bank members have now approved the plan meaning the bank could start forgiving debts in July.,"World Bank, President Paul Wolfowitz"
335,The move follows July's pledge from the wealthy G-8 countries to cancel the debt of the world's poorest countries many of which are located in Africa.,"G-8, Africa"
336,The 17 countries now eligible for World Bank debt relief are Benin Bolivia Burkina Faso Ethiopia Ghana Guyana Honduras Madagascar Mali Mozambique Nicaragua Niger Rwanda Senegal Tanzania Uganda and Zambia.,World Bank
337,Iran has closed government offices and schools in Tehran for two days because of wind-blown dust that has polluted the capital.,Tehran
340,Iran's Press TV says Tehran's Air Quality Control Company has found the amount of potentially harmful particulate in the air has reached dangerous levels.,"Press TV, Tehran, Air Quality Control Company"
341,The dust has blown in from Saudi Arabia and neighboring Iraq where a severe sandstorm recently blanketed the capital Baghdad.,"Saudi Arabia, Iraq, Baghdad"
343,Shortly before midnight a suicide bomber blew himself up in a crowd of young Israelis waiting to get into a beachfront nightclub in Tel Aviv.,Tel Aviv
347,A statement released by Palestinian President Mahmoud Abbas in Ramallah vowed to track down and punish those responsible saying this was an attempt to sabotage the peace process.,"President Mahmoud Abbas, Ramallah"
348,The bombing shatters weeks of calm after Mr. Abbas declared a truce during a summit with Israeli Prime Minister Ariel Sharon in Egypt earlier this month.,"Mr. Abbas, Prime Minister Ariel Sharon, Egypt"
349,Indonesian officials say they have signed an initial agreement with Russia to build a space launch center on the remote island of Biak off the coast of Papua New Guinea.,"Biak, Papua New Guinea"
351,They say the island is well-suited for the project because of its proximity to the equator which makes it easier to launch satellites into some Earth orbits.,Earth
352,The spokesman says a formal agreement on the project will be signed in June when Indonesian President Susilo Bambang Yudhoyono is scheduled to visit Moscow.,"President Susilo Bambang Yudhoyono, Moscow"
353,An Algerian man goes on trial Monday in France for terrorist attacks on the Paris subway in 1995.,"France, Paris"
354,Prosecutors say Rachid Ramda helped fund at least three bombings on the Paris metro.,"Rachid Ramda, Paris"
355,If he is convicted Ramda could get life in prison.,Ramda
356,The 38-year-old is already serving a 10-year sentence in France after he was convicted last year on terrorism charges.,France
357,Police say Ramda operated from London where investigators say they found evidence that he sent money to terrorists.,"Ramda, London"
358,He is accused of helping fund attacks carried out by an Algerian militant organization the Armed Islamic Group.,Armed Islamic Group
359,British police arrested Ramda in 1995.,Ramda
360,He fought extradition to France for 10 years.,France
361,In Monday's trial Ramda is facing charges of being an accomplice to at least three bombings on the Paris subway including the July 25 1995 attack that killed eight people and injured more than 150.,"Ramda, Paris"
362,The United Nations says Sudanese refugees have begun returning from the Central African Republic under a new deal between the countries and the U.N. refugee agency.,"United Nations, U.N."
363,"The U.N. says the deal which was signed Wednesday will allow some 16,000 Sudanese refugees living in the CAR to voluntarily return home.",U.N.
368,"The U.N. says the other agreements will allow for the return of 13,000 Sudanese refugees living in the Democratic Republic of Congo and for the return of nearly 7,000 Congolese refugees currently in Sudan.",U.N.
369,Police in Japan say a teacher stabbed to death a 12-year-old girl Saturday in the country's third killing of a school girl in less than three weeks.,Japan
370,Yu Hagino 23 was arrested at the murder scene a school in the western city of Uji.,"Yu Hagino, Uji"
374,Radical Islamic cleric Omar Bakri Mohammed has called on all Muslims to leave Europe.,"Omar Bakri Mohammed, Europe"
375,In an interview with French television to be broadcast Monday Mr. Bakri says Muslims will one day return to Europe and the Islamic flag will fly over Downing Street the home of Britain's prime minister.,"Mr. Bakri, Muslims, Europe"
376,The interview took place in Beirut where Mr. Bakri lives after the British government stripped him of his residency in its campaign to rein in radical Islamic leaders.,"Beirut, Mr. Bakri"
377,Mr. Bakri triggered British outrage after the July 7 bombings in London when he said he would never tip off police if he knew a Muslim was about to carry out an attack.,"Mr. Bakri, London, Muslim"
378,In the France 3 interview Mr. Bakri says the backgrounds of the four suicide bombers in the London attacks prove the message of al-Qaida chief Osama bin Laden has reached moderate communities.,"Mr. Bakri, London, al-Qaida, Osama bin Laden"
380,Joint Chiefs of Staff Chairman Mike Mullen said Sunday that the U.S. has a plan to strike Iran.,"Joint Chiefs of Staff, Mike Mullen"
381,But Admiral Mullen said he hopes the military option is not needed.,Admiral Mullen
382,Iran's defense minister Brigadier General Ahmad Vahidi said Tuesday that U.S. threats to attack his country violate the United Nations charter.,"Brigadier General Ahmad Vahidi, United Nations"
385,Admiral Mullen said he hopes the combination of sanctions and diplomatic efforts will resolve the dispute.,Admiral Mullen
386,Georgia's president has announced plans for his country to get emergency natural gas supplies from Iran to help end the country's shortage of both gas and electricity.,Iran
387,President Mikhail Saakashvili told cabinet members Friday that gas from Iran is expected to begin flowing into Georgia beginning Sunday or at the latest Monday.,"President Mikhail Saakashvili, Iran, Georgia"
392,President Saakashvili says the agreement with Iran shows his country has alternative sources.,"President Saakashvili, Iran"
394,Peru's former President Alberto Fujimori has told authorities he is trying to form a political alliance to support his bid to run in next April's presidential election.,Alberto Fujimori
395,In a visit to the Peruvian consulate in Tokyo Wednesday Mr. Fujimori had his signature validated on a document joining his Si Cumple party with two other political parties.,"Tokyo, Mr. Fujimori, Si Cumple"
397,The disgraced ex-president and son of Japanese parents fled to Japan in 2000 where he was granted citizenship.,Japan
398,The exiled president is wanted in Peru to face charges of corruption and human rights abuses related to the death squad murders of 25 people.,Peru
399,Mr. Fujimori Peru's hard-line ruler from 1990 to 2000 has denied the charges calling them politically motivated.,"Mr. Fujimori, Peru"
401,The British Embassy in Sudan's capital has re-opened to the public four days after it was closed because of a possible terrorist threat.,Sudan
404,Earlier this week the government said it had broken up a plot to attack several Western diplomatic missions in the capital Khartoum.,Khartoum
406,The British Embassy has advised British citizens to avoid travel to Khartoum.,Khartoum
407,Kenyan police have opened fire at hundreds of people demonstrating against cartoons depicting the Prophet Muhammad as protests across the Muslim world showed no signs of abating.,"Prophet Muhammad, Muslim"
408,At least one Kenyan was wounded Friday when protesters tried to march on the Danish embassy in Nairobi shouting anti-Denmark slogans and burning Danish flags.,Nairobi
409,Muslims also demonstrated Friday in cities across the Middle East as well as in India Pakistan Afghanistan Bangladesh Malaysia and Venezuela.,"Middle East, India, Pakistan, Afghanistan, Bangladesh, Malaysia, Venezuela"
410,In France a Muslim organization - the French Council of the Muslim Faith - said it was launching legal action against French newspapers that published the cartoons one of which depicts the Prophet Muhammad wearing a turban shaped like a bomb.,"France, Muslim, Council, Muslim Faith, Prophet Muhammad"
411,"Malaysian Prime Minister Abdullah Ahmad Badawi told an international conference Friday the Muslim world and the West must stop demonizing each other and"" accept one another as equals.""","Prime Minister Abdullah Ahmad Badawi, Muslim, West"
412,The death toll from a coal mining accident in northwestern China rose to 32 Wednesday after searchers recovered the body of the last missing miner.,China
413,China's state-run media say 39 people were working at the privately-owned coal mine in Shaanxi province on Saturday when a gas explosion occurred.,"China, Shaanxi"
415,The Xinhua news agency says police have detained the owner and managers of the mine but provided no other details.,Xinhua
418,India and Pakistan plan to hold a third round of peace talks in January with a focus on security the Kashmir issue and confidence-building measures between the nuclear rivals.,"India and Pakistan, Kashmir"
422,A foreign office spokeswoman in Islamabad also said that the two sides have been holding secret talks on possible reduction of forces in Kashmir and a Pakistani proposal of self-rule in Kashmir.,"Islamabad, Kashmir, Kashmir"
424,India has not made any comment about the talks.,India
425,Iraqi officials say at least two people were killed and several others wounded in a car bomb blast in central Baghdad Tuesday.,Baghdad
428,On Monday dozens of people were killed and scores were hurt in a series of car bombings and other attacks in cities and towns across Iraq.,Iraq
429,Also Monday an al-Qaida-linked group claimed responsibility for gunning down a top Iraqi security official (Wael al-Rubaei) and his driver in Baghdad.,"Wael al-Rubaei, Baghdad"
430,Iran's hard-line Guardian Council has approved a bill that would block United Nations inspections of its nuclear facilities and allow it to resume uranium enrichment if it is referred to the U.N. Security Council.,"Iran, Guardian Council, United Nations, U.N. Security Council"
433,The final step will be President Mahmoud Ahmadinejad's signature.,President Mahmoud Ahmadinejad
437,Zambian officials say reports that President Levy Mwanawasa has died are FALSE.,President Levy Mwanawasa
438,Information Minister Mike Mulongoti made a televised address Thursday to say the foreign media reports are not TRUE.,Information Minister Mike Mulongoti
439,He said President Mwanawasa remains in stable condition in a Paris hospital and is being treated for hypertension.,"President Mwanawasa, Paris"
440,Mr. Mwanawasa was flown to France Tuesday after suffering a stroke Sunday while in Egypt for an African Union summit.,"Mr. Mwanawasa, France, Egypt, African Union"
441,The summit was dominated by the political crisis in Zimbabwe and the absence of Mr. Mwanawasa a critic of Zimbabwean President Robert Mugabe was said to hurt attempts to put more pressure on Harare.,"Zimbabwe, Mr. Mwanawasa, President Robert Mugabe"
442,Mr. Mwanawasa is 59 years old and has served as Zambia's president since 2002.,Mr. Mwanawasa
443,He is also the current leader of the Southern African Development Community.,Southern African Development Community
445,U.S. President Barack Obama has named Gene Sperling as the new head of the National Economic Council which oversees the administration's economic policies.,"President Barack Obama, Gene Sperling, National Economic Council"
446,Sperling had the same job in President Bill Clinton's administration.,"Sperling, President Bill Clinton"
447,He succeeds Lawrence Summers another top economic official from the Clinton-era.,Lawrence Summers
448,Sperling has spent the first two years of the Obama administration as a counselor to Treasury Secretary Timothy Geithner.,"Sperling, Obama, Treasury Secretary Timothy Geithner"
449,Mr. Obama made the announcement Friday during a visit to a window manufacturer located outside of Washington D.C.,"Mr. Obama, Washington, D.C."
450,Sperling's appointment is the latest major staff change for the Obama administration as it begins dealing with a new Republican majority in the House of Representatives and planning for the president's likely re-election campaign in 2012.,"Sperling, Obama, House of Representatives"
451,On Thursday Mr. Obama named another ex-Clinton official William Daley as his new chief of staff replacing Rahm Emmanuel.,"Mr. Obama, William Daley, Rahm Emmanuel"
452,Authorities in Bosnia-Herzegovina say they have arrested a former Bosnian Serb police officer for his suspected role in the 1995 massacre of Muslims near the eastern Bosnian town of Srebrenica.,Srebrenica
453,The state prosecutor's office says 37-year-old Dragan Neskovic was arrested Wednesday in the northeastern town of Bijeljina on suspicion of genocide.,"Dragan Neskovic, Bijeljina"
455,"More than 8,000 Muslim men and boys were killed by Serb forces in July 1995 in what was supposed to have been a United Nations safe haven.",United Nations
456,The Srebrenica killings are considered the worst European massacre since World War II.,Srebrenica
457,The U.N. war crimes tribunal in The Hague has already sentenced 14 Serbs for their key roles in the killings.,"U.N., Hague"
458,Former Bosnian Serb leader Radovan Karadzic is currently on trial there charged with genocide and crimes against humanity.,Radovan Karadzic
460,"China's official Xinhua news agency says archaeologists have discovered the ruins of 29 villages that date back more than 4,500 years.","China, Xinhua"
461,The report said the ancient communities were discovered in the northern part of Shaanxi province a region known for its archaeological treasures.,Shaanxi
462,Xinhua says the ruins show that people had mastered building techniques and had constructed houses and stone walls around their community.,Xinhua
464,The report quoted an official with the Shaanxi Provincial Archaeological Research Institute as saying the discovery will help scientists better understand the environment during the Neolithic period also known as the New Stone Age.,Shaanxi Provincial Archaeological Research Institute
465,A United Nations expert on extrajudicial killings says he would like to visit Thailand to investigate last month's deaths of 87 Muslim protesters.,"United Nations, Thailand, Muslim"
466,Philip Alston said he is deeply concerned by the October 25 incident.,Philip Alston
467,He said a visit to Thailand would allow him to speak with those involved and to recommend ways to bring peace and stability to the region.,Thailand
468,Thailand has not responded to Mr. Alston's request.,Mr. Alston
469,Meanwhile Thailand's revered King Bhumibol Adulyadej warned that the country could fall into ruin if the violence in the south does not end.,King Bhumibol Adulyadej
471,Hundreds of people have been killed since January when an insurgency flared up in Thailand's three Muslim-majority southern provinces.,Thailand
472,Israeli soldiers have killed two Palestinians in the southern Gaza Strip.,Gaza Strip
473,Witnesses say the two men were killed early Friday near the security barrier separating southern Gaza with Israel.,"Gaza, Israel"
476,Israeli soldiers killed five Palestinians Thursday during an army operation in the West Bank city of Nablus.,"West Bank, Nablus"
477,Officials say three of the dead were wanted militants from the al-Aqsa Martyrs'Brigades a violent offshoot of the mainstream Fatah Party.,"al-Aqsa Martyrs ' Brigades, Fatah Party"
478,Palestinian President Mahmoud Abbas and incoming Hamas Prime Minister Ismail Haniyeh Friday denounced the Israeli military's sweep through the Nablus refugee camps.,"President Mahmoud Abbas, Hamas, Prime Minister Ismail Haniyeh, Nablus"
479,The head of U.S. troops in the Horn of Africa says terrorists and insurgents may begin leaving war zones in Afghanistan and Iraq and head for east Africa.,"Horn, Africa, Afghanistan, Iraq, Africa"
480,Major General Timothy Ghormley says officials are concerned that instability and weak governments in east Africa could draw international terrorist groups seeking to establish a base of operations.,"Major General Timothy Ghormley, Africa"
481,General Ghormley says the joint task force in Djibouti has been helping to train foreign soldiers and build anti-terrorist capabilities of governments in the region.,"General Ghormley, Djibouti"
482,However U.S. forces have yet to enter Somalia which has been without a functioning central government for more than 10 years.,Somalia
483,Earlier this year Ethiopian Prime Minister Meles Zenawi warned an al-Qaida cell is already operating out of Somalia's capital Mogadishu.,"Prime Minister Meles Zenawi, al-Qaida, Mogadishu"
484,Ugandan Lord's Resistance Army rebels are seeking a 12-month suspension in the arrest warrants against their leaders issued by the International Criminal Court.,"Lord 's Resistance Army, International Criminal Court"
485,James Obita the technical advisor to the rebels'negotiating team tells VOA the rebels will ask for the suspension when peace talks with the Ugandan government resume Thursday in Juba southern Sudan.,"James Obita, VOA, Juba, Sudan"
486,"He says in connection with that request the rebels will propose an"" alternative justice system"" to deal with war crimes committed during the rebels'20-year uprising in northern Uganda.",Uganda
487,LRA fighters are accused of killing and mutilating thousands of civilians during the conflict.,LRA
488,The International Criminal Court has indicted five top rebel leaders on war crimes charges.,International Criminal Court
489,The LRA has demanded those charges be dropped as a condition for signing any peace deal.,LRA
491,A group linked to al-Qaida in Iraq is denying Iraqi government reports that its leader was recently arrested.,"al-Qaida, Iraq"
492,The Islamic State of Iraq says the man it claims is its leader Abu Omar al-Baghdadi is fine.,"Iraq, Abu Omar al-Baghdadi"
493,The group says on an Islamist Web site it does not know the person who Iraqi authorities arrested last month and presented as al-Baghdadi.,al-Baghdadi
494,The Iraqi army said it captured the Sunni insurgent leader in the Iraqi capital Baghdad.,"Sunni, Baghdad"
497,In addition U.S. military commander General Kevin Bergner previously had said al-Baghdadi may not be a real person but rather a fictional character created to put an Iraqi face on the otherwise foreign leadership of al-Qaida in Iraq.,"General Kevin Bergner, al-Baghdadi, al-Qaida, Iraq"
498,U.S. military officials have announced changes to military trials of terrorism suspects being held at the U.S. naval base in Guantanamo Bay Cuba.,"Guantanamo Bay, Cuba"
499,"Air Force Brigadier General Thomas Hemingway said Wednesday the so-called"" improvements"" will bring the process closer to the American judge-and-jury system.","Air Force, Brigadier General Thomas Hemingway"
502,U.S. military officials have filed charges against four detainees at Guantanamo where more than 500 terror suspects are being held.,Guantanamo
503,Meantime Center for Constitutional Rights said some prisoners have launched a hunger strike to protest their conditions.,Center for Constitutional Rights
504,A landmine blast in southern Afghanistan has killed nine Afghan soldiers.,Afghanistan
505,The Taleban later claimed responsibility for the blast in Kandahar province.,"Taleban, Kandahar"
506,An Afghan Army spokesman said the troops were traveling towards the nearby Pakistani border when their vehicle hit the mine.,Army
507,U.S.-led forces are hunting down remnants of Afghanistan's ousted Taleban regime who frequently carry out hit and run attacks on coalition and Afghan government forces mainly in the country's eastern and southern regions.,"Afghanistan, Taleban"
508,Four key Palestinian militant groups say they are ending a truce aimed at easing attacks on Israel.,Israel
509,In separate statements issued Sunday Hamas and the Popular Resistance Committees said they were no longer bound by the truce deal brokered last March by Palestinian Authority President Mahmoud Abbas.,"Hamas, Popular Resistance Committees, Palestinian Authority, President Mahmoud Abbas"
510,The al-Aqsa Martyrs Brigades and Islamic Jihad also scrapped the deal and said they had fired rockets early today into southern Israel.,"al-Aqsa Martyrs Brigades, Islamic Jihad, Israel"
511,In a separate development gunmen in the Gaza Strip stormed a club for United Nations workers and blew up a hall where alcohol was served.,"Gaza Strip, United Nations"
513,A short while later gunmen in Gaza kidnapped an Italian activist near Khan Younis but later released him.,"Gaza, Khan Younis"
514,Coalition troops in Iraq have captured a suspected al-Qaida terrorist during a raid on the home of a senior Sunni Arab politician Adnan al-Dulaymi.,"Iraq, al-Qaida, Sunni Arab, Adnan al-Dulaymi"
515,U.S. officials say they believe the man was involved in planning car bomb attacks on Baghdad's Green Zone which houses government diplomatic and military offices.,"U.S., Baghdad, Green Zone"
516,The man is identified as a bodyguard at Mr. Dulaymi's home in the Iraqi capital.,Mr. Dulaymi
518,On Friday Iraqi authorities imposed a curfew in Baghdad because of fears of new violence.,Baghdad
520,In the northern city of Tal Afar a car bomb exploded Saturday killing two people and wounding 30 others.,Tal Afar
521,The U.S. military says the Iraqi army has captured three suspected al-Qaida in Iraq leaders involved in roadside bomb attacks.,"al-Qaida, Iraq"
522,Statements Wednesday say the suspects were detained in separate operations north of Baghdad in Kirkuk province and in the towns of Tarmiyah and Judaidah.,"Baghdad, Kirkuk, Tarmiyah, Judaidah"
523,The military says U.S. Special Forces advised the Iraqi army in all three operations.,U.S. Special Forces
524,The U.S. military also says Iraqi special operations forces detained seven suspected criminals in and around Baghdad's Sadr City district a stronghold of radical Shi'ite cleric Moqtada al-Sadr.,"Baghdad, Sadr City, Shi'ite, Moqtada al-Sadr"
525,U.S. and Iraqi soldiers have been fighting Shi'ite militants in Sadr City in recent weeks as part of a crackdown on illegal militias.,"Shi'ite, Sadr City"
526,The United Nations reports a halt to international aid work in the displaced persons'camps of Zalinge in Sudan's Darfur region.,"United Nations, Zalinge, Sudan, Darfur"
527,The U.N. refugee agency says international groups suspended their activities in the camps after a mob killed three water workers on Thursday.,U.N.
529,"Friday spokesman Ron Redmond said agency is"" extremely concerned"" about what he called the continued deterioration in Darfur's security situation.","Ron Redmond, Darfur"
530,Redmond listed a number of attacks on relief groups over the past week including one where an aid worker was shot dead in North Darfur.,"Redmond, North Darfur"
531,World leaders have been pressing Sudan to accept a U.N. peacekeeping force in Darfur.,"U.N., Darfur"
532,"The government is still rejecting any U.N. deployment to the region where more than three years of violence has killed nearly 2,00,000 people and displaced some two million others.",U.N.
533,Iraq's parliament has approved six new government ministers including four from the country's Sunni minority which held power under Saddam Hussein.,"Sunni, Saddam Hussein"
534,However the Sunni Human Rights appointee Hashem Ashibli quickly turned down the post leaving a single vacancy in the 33-member cabinet.,"Sunni Human Rights, Hashem Ashibli"
536,A Sunni Arab Saadoun al-Dulaimi has been approved as defense minister and a Shi'ite (Ibrahim Bahr al-Uloum) will head the all-important oil ministry.,"Saadoun al-Dulaimi, Ibrahim Bahr al-Uloum"
538,Meanwhile Iraqi police say gunmen assassinated a senior member of the Transportation Ministry Zoba Yass and his driver today in Baghdad.,"Transportation Ministry, Zoba Yass, Baghdad"
539,Separately U.S. officials say coalition forces killed six insurgents and captured 54 suspects early Sunday near the western border town of al-Qaim.,al-Qaim
547,At least 17 people including seven children were killed and more than 70 others wounded in an explosion Monday at a home used for religious education in Pakistan's Punjab province.,"Pakistan, Punjab"
548,Officials in the Mian Channu area said they believe the blast which also flattened more than 20 nearby houses was caused by a cache of explosives stored in the house.,Mian Channu
550,The house belongs to a Muslim cleric who has been accused of recruiting fighters for a banned militant group.,Muslim
552,Pakistani Prime Minister Yusuf Raza Gilani condemned the blast and ordered an inquiry into the incident.,Prime Minister Yusuf Raza Gilani
553,A U.S. immigration judge has denied bail for Luis Posada Carriles an asylum-seeking former CIA operative from Cuba.,"Luis Posada Carriles, CIA, Cuba"
554,U.S. authorities arrested the 77-year-old Posada Carriles in May after he illegally entered the country through Mexico.,"Posada Carriles, Mexico"
555,Posada Carriles is wanted in Venezuela for his alleged role in a 1976 Cuban airliner bombing that killed 73 people.,"Posada Carriles, Venezuela"
559,Pakistani President Pervez Musharraf has sought the support of Pakistanis in the fight against religious extremism and terrorism.,President Pervez Musharraf
561,"In a broadcast address to the nation Thursday General Musharraf promised"" stern action"" against those involved in the printing publication and distribution of hate material including newspapers magazines pamphlets and audio and video material.",General Musharraf
564,General Musharraf said all madrassas in Pakistan must be registered with the government by the end of this year.,"General Musharraf, Pakistan"
566,The changes proposed by the U.S. Centers for Disease Control would apply to planes and ships arriving from outside the United States as well as some domestic flights.,"Centers for Disease Control, United States"
567,The CDC also called for giving U.S. health officials more authority to administer medical treatment and vaccinations to quarantined people.,CDC
569,The proposals come amid growing concern about the spread of bird flu which has killed more than 60 people in Asia since 2003.,Asia
570,Pakistani police have arrested four alleged members of an Islamic militant group in connection with the murder of a prominent Shi'ite Muslim cleric earlier this year.,Shi'ite Muslim
571,A senior police official Saud Aziz says the four wanted in connection with the slaying of Agha Ziauddin in the town of Gilgit in January were picked up in the city of Rawalpindi.,"Saud Aziz, Agha Ziauddin, Gilgit, Rawalpindi"
573,The official says the suspects belong to the Sunni Muslim Lashkar-e-Jhangvi and that they were plotting to attack Shi'ite events last week but changed their minds because of tight security.,"Sunni Muslim Lashkar-e-Jhangvi, Shi'ite"
574,The banned group is accused of killing hundreds of Pakistani Shi'ite Muslims in recent years and is believed to have links to the al-Qaida terrorist network.,"Shi'ite Muslims, al-Qaida"
575,"The name"" Latvia"" originates from the ancient Latgalians one of four eastern Baltic tribes that formed the ethnic core of the Latvian people (ca. 8th - 12th centuries A.D.).","Latgalians, Baltic"
580,Latvia joined both NATO and the EU in the spring of 2004.,"NATO, EU"
581,Bolivia is one of the poorest and least developed countries in Latin America.,Latin America
586,Nevertheless Bolivia recorded the highest growth rate in South America that year.,South America
589,Autonomy for the Swazis of southern Africa was guaranteed by the British in the late 19th century; independence was granted in 1968.,Africa
590,Student and labor unrest during the 1990s pressured King MSWATI III the world's last absolute monarch to grudgingly allow political reform and greater democracy although he has backslid on these promises in recent years.,King MSWATI III
592,The African United Democratic Party tried unsuccessfully to register as an official political party in mid 2006.,United Democratic Party
597,Manpower was replaced with the importation of contract laborers from India between 1845 and 1917 which boosted sugar production as well as the cocoa industry.,India
598,The discovery of oil on Trinidad in 1910 added another important export.,Trinidad
600,The country is one of the most prosperous in the Caribbean thanks largely to petroleum and natural gas production and processing.,Caribbean
601,Tourism mostly in Tobago is targeted for expansion and is growing.,Tobago
618,The fate of seven suspected Somali pirates who were captured by a Spanish warship is uncertain after Spanish prosecutors reversed plans to bring them to Spain to face trial.,Spain
619,A Spanish judge Fernando Andreu ordered the Somali men released on Friday.,Fernando Andreu
620,However he refused the prosecution's request to surrender them to Kenyan authorities saying it would violate the law since proceedings were already taking place in Spain.,Spain
621,A Spanish ship seized the men off the coast of Somalia Wednesday after their boat capsized during their alleged attempt to hijack a Panamanian-flagged vessel.,Somalia
622,France is prosecuting 15 piracy suspects in its own courts though it has transferred others to Kenya including 11 who were handed over on Friday.,"France, Kenya"
623,"China says it punished more than 1,200 health workers last year for such corruption as taking commissions from drug companies and accepting bribes from patients.",China
624,The official Xinhua news agency says investigators from China's Health Ministry uncovered more than 200 cases of hospital staff members buying and selling medicine for personal profit.,"Xinhua, China, Health Ministry"
628,China's Health Minister Gao Qiang said at a nationwide health meeting Saturday that most hospital staff members are doing a good job.,"China, Health Minister Gao Qiang"
630,A vault built to safeguard seed samples of the world's important food crops has opened in the remote Norwegian archipelago of Svalbard.,Svalbard
631,Norway's Prime Minister Jens Stoltenberg and Nobel-Prize winning environmentalist Wangari Maathai on Tuesday placed the first seeds inside the vault built in caverns 130 meters inside a frozen mountain.,"Jens Stoltenberg, Wangari Maathai"
636,More than two dozen Iraqi civilians and policemen have been killed in a wave of bombings Wednesday in Baghdad and parts of central and northern Iraq meant to intimidate voters less than two weeks ahead of national elections.,"Baghdad, Iraq"
637,Five bomb attacks were carried out in Baghdad.,Baghdad
638,Wanted terrorist Abu Musab al-Zarqawi's group (al-Qaida in Iraq) claimed responsibility for four of them including one outside the Australian embassy.,"Abu Musab, al-Zarqawi, al-Qaida, Iraq"
639,The U.S. military reported at least 26 people were killed and many others wounded in those blasts.,U.S.
640,North of the capital in Kirkuk police say a human rights activist and a relative were killed while in Irbil a bomb targeted the convoy of the police academy chief killing a bystander.,"North, Kirkuk, Irbil"
641,And in Dohuk the provincial governor escaped injury when a bomb hit his convoy.,Dohuk
642,A policeman was also killed in a car bombing south of Baghdad near Hilla.,"Baghdad, Hilla"
643,An Israeli airstrike in the Gaza Strip has killed a top Islamic Jihad commander and at least six other people a day after an Islamic Jihad suicide bomber killed five people in central Israel.,"Gaza Strip, Islamic Jihad, Islamic Jihad, Israel"
644,The Israeli military confirmed the Thursday evening helicopter strike near the Jabaliya refugee camp saying it targeted an Islamic Jihad militant.,"Jabaliya, Islamic Jihad"
645,Palestinians identified him as Shahdi Mohanna the Islamic Jihad commander for the northern Gaza Strip.,"Shahdi Mohanna, Islamic Jihad, Gaza Strip"
646,They said three other Islamic Jihad activists and three civilians were also among the dead and at least 15 people were wounded.,Islamic Jihad
647,Earlier Thursday Israeli Prime Minister Ariel Sharon announced an offensive he said would not stop until the Palestinian Authority moves decisively to stop militant attacks.,Prime Minister Ariel Sharon
648,He also said he will not hold talks with Palestinian leader Mahmoud Abbas until the attacks stop.,Mahmoud Abbas
649,A draft peace proposal under consideration by the Afghan government could offer Taliban leaders exile overseas if they agree to stop fighting.,Taliban
650,"The draft plan seen by reporters for British news organizations Reuters and the Guardian newspaper also calls for"" de-radicalization"" classes for insurgents and thousands of new jobs to be created for militants who renounce violence.","Reuters, Guardian"
651,The proposal comes weeks before a grand council of Afghans known as a jirga meets in Kabul on May 29 to discuss how to make peace with the insurgents.,Kabul
652,Possible peace talks will be a key issue discussed when Afghan President Hamid Karzai meets with U.S. President Barack Obama in Washington this week.,"President Hamid Karzai, Barack Obama, Washington"
653,Russia has ordered its fleet of Su-24 bombers grounded after one of the planes crashed during a training mission.,Russia
654,Air force officials said Thursday that a technical problem caused the early morning accident in the Far East Khabarovsk territory.,"Air force, Far East Khabarovsk"
660,Pro-Russian demonstrators in Crimea have protested against the arrival of a U.S. naval frigate in Sevastopol the Ukrainian port where Russia's Black Sea fleet is based.,"Crimea, U.S., Sevastopol, Russia"
661,"News-agency reports from Sevastopol say the demonstrators shouted"" NATO out"" and"" Yankee go home"" during their protest Wednesday.","Sevastopol, NATO"
662,Ukraine's navy says the U.S. naval vessel is on a friendly visit to the Black Sea and is not taking part in any military exercises.,"Ukraine, U.S., Black Sea"
663,Sevastopol's naval base dates back to Soviet times.,Sevastopol
664,Through a lease agreement with Ukraine Russia will operate the facility until 2017.,"Ukraine, Russia"
665,Ukraine's campaign to win NATO membership has been strongly opposed by Moscow which says it will not accept any further expansion of the western alliance on Russia's borders.,"Ukraine, NATO, Moscow, Russia"
666,Egypt's largest opposition group defied authorities and held anti-government protests in Cairo Sunday.,Cairo
667,Several thousand riot police prevented the Muslim Brotherhood from holding a rally outside the Egyptian parliament as planned.,Muslim Brotherhood
668,Instead members of the group gathered in front of a Cairo mosque shouting demands for political reforms.,Cairo
671,Smaller protests took place at two other Cairo locations.,Cairo
672,Egyptian authorities had arrested another 50 Brotherhood members before the protests.,Brotherhood
673,The Muslim Brotherhood calls for replacing Egypt's secular government with an Islamic state.,"Muslim Brotherhood, Egypt"
